SurfaceName,PieceId,X,Y,Z
Gravel Surface 2,0,991.3514,649.1625,11.2454
Gravel Surface 2,0,990.1271,650.7284,11.2300
Gravel Surface 2,0,994.6515,637.5460,11.4811
Gravel Surface 2,0,990.0256,650.8582,11.2282
Gravel Surface 2,0,989.0594,652.1269,11.2105
Gravel Surface 2,0,982.9509,659.9558,11.0901
Gravel Surface 2,0,986.6880,655.2407,11.1621
Gravel Surface 2,0,978.1534,642.9428,11.4965
Gravel Surface 2,0,992.7983,636.0173,11.5539
Gravel Surface 2,0,991.9880,635.3489,11.5857
Gravel Surface 2,0,987.5776,631.9396,11.7537
Gravel Surface 2,0,974.1863,663.3679,10.7683
Gravel Surface 2,0,973.9548,644.1044,11.3565
Gravel Surface 2,0,963.6669,635.5129,11.6738
Gravel Surface 2,0,973.3253,643.5787,11.3759
Gravel Surface 2,0,964.5679,631.2773,11.9344
Gravel Surface 2,0,971.3527,637.1032,11.7157
Gravel Surface 2,0,963.4692,630.3339,11.9698
Gravel Surface 2,0,961.6067,630.3082,11.9526
Gravel Surface 2,0,962.0478,629.6888,12.0000
Gravel Surface 2,0,958.1244,621.8326,12.0064
Gravel Surface 2,0,963.8652,627.1365,12.1318
Gravel Surface 2,0,963.1745,626.4983,12.1167
Gravel Surface 2,0,964.0844,627.3390,12.1219
Gravel Surface 2,0,964.1076,629.6008,12.0078
Gravel Surface 2,0,965.1887,628.3592,12.0722
Gravel Surface 2,0,955.8064,638.4541,11.3291
Gravel Surface 2,0,945.3424,621.4673,11.5763
Gravel Surface 2,0,945.0739,638.5296,11.0770
Gravel Surface 2,0,939.9198,629.8694,11.2641
Gravel Surface 2,0,937.7263,595.6945,10.9884
Gravel Surface 2,0,940.8348,598.0909,10.9996
Gravel Surface 2,0,950.7650,613.0654,11.8885
Gravel Surface 2,0,961.1565,617.0306,12.2250
Gravel Surface 2,0,961.6096,616.3130,12.2577
Gravel Surface 2,0,952.7021,610.0640,12.0000
Gravel Surface 2,0,956.0425,604.5723,12.3913
Gravel Surface 2,0,941.0736,597.7903,11.0009
Gravel Surface 2,0,942.8623,595.5281,12.0000
Gravel Surface 2,0,946.7257,590.6820,13.0000
Gravel Surface 2,0,961.2392,596.0287,13.0000
Gravel Surface 2,0,947.8313,589.2952,13.1000
Gravel Surface 2,0,948.8556,588.0103,13.0526
Gravel Surface 2,0,949.9943,586.5820,13.0000
Gravel Surface 2,0,952.9931,582.8203,13.1634
Gravel Surface 2,0,953.8789,581.7090,13.2117
Gravel Surface 2,0,969.5996,572.3718,13.4724
Gravel Surface 2,0,969.3139,572.1448,13.5017
