SurfaceName,PieceId,X,Y,Z
Gravel Surface 1,1,1151.7230,658.8918,12.9728
Gravel Surface 1,1,1154.3116,660.9662,13.4048
Gravel Surface 1,1,1154.8978,664.9015,13.7858
Gravel Surface 1,1,1151.7020,668.9448,14.4900
Gravel Surface 1,1,1137.8726,664.1705,12.0000
Gravel Surface 1,1,1131.5970,671.9562,12.0000
Gravel Surface 1,1,1157.2131,673.3380,14.7100
Gravel Surface 1,1,1125.3215,679.7419,12.0000
Gravel Surface 1,1,1122.8594,678.0260,11.9442
Gravel Surface 1,1,1128.3972,671.0998,11.9435
Gravel Surface 1,1,1129.1016,670.2188,11.9465
Gravel Surface 1,1,1134.6694,663.2550,11.9459
Gravel Surface 1,1,1135.3439,662.4115,11.9487
Gravel Surface 1,1,1122.1213,678.9492,11.9408
Gravel Surface 1,1,1116.6173,685.8331,11.9415
Gravel Surface 1,1,1119.0459,687.5276,12.0000
Gravel Surface 1,1,1118.4701,722.4987,15.0627
Gravel Surface 1,1,1115.4717,726.3034,15.0900
Gravel Surface 1,1,1112.7704,695.3134,12.0000
Gravel Surface 1,1,1110.3123,693.5960,11.9368
Gravel Surface 1,1,1109.4396,694.6420,11.9319
Gravel Surface 1,1,1103.8989,701.2828,11.9286
Gravel Surface 1,1,1106.4948,703.0991,12.0000
Gravel Surface 1,1,1102.9063,702.4725,11.9225
Gravel Surface 1,1,1097.4860,708.9692,11.9190
Gravel Surface 1,1,1100.2192,710.8848,12.0000
Gravel Surface 1,1,1099.0938,719.9068,12.0000
Gravel Surface 1,1,1111.6754,730.5405,14.0000
Gravel Surface 1,1,1101.1509,729.6930,12.0000
Gravel Surface 1,1,1108.1105,734.5193,13.0000
Gravel Surface 1,1,1105.2370,737.7265,12.0000
Gravel Surface 1,1,1103.7650,738.9981,12.0000
Gravel Surface 1,1,1102.9746,738.3682,12.0000
Gravel Surface 1,1,1102.1835,737.7378,11.4596
Gravel Surface 1,1,1098.4739,734.3794,11.8787
Gravel Surface 1,1,1095.2214,729.3775,11.8233
Gravel Surface 1,1,1093.4299,720.4268,11.8260
Gravel Surface 1,1,1094.6984,714.0887,11.8605
Gravel Surface 1,1,1093.7744,717.3107,11.8344
Gravel Surface 1,1,1094.3852,714.8010,11.8514
Gravel Surface 1,1,1093.4299,719.8148,11.8256
Gravel Surface 1,1,1097.8223,713.8585,12.0000
Gravel Surface 1,1,1095.7576,711.7479,11.9287
Gravel Surface 1,1,1097.1422,709.3812,11.9188
Gravel Surface 1,1,1093.6189,724.0654,11.8086
Gravel Surface 1,1,1093.4299,721.5833,11.8187
Gravel Surface 1,1,1094.4645,727.6024,11.8117
Gravel Surface 1,1,1095.4208,729.8451,11.8253
Gravel Surface 1,1,1097.4428,733.2464,11.8572
Gravel Surface 1,1,1099.8073,735.8444,11.7127
Gravel Surface 1,1,1103.8190,739.0411,11.9015
Gravel Surface 1,1,1103.9538,739.1587,11.6446
Gravel Surface 1,1,1104.7124,739.8208,11.4179
Gravel Surface 1,1,1112.6304,736.5463,12.0000
Gravel Surface 1,1,1112.8569,736.5771,12.4967
Gravel Surface 1,1,1117.8660,728.2042,14.9310
Gravel Surface 1,1,1121.5456,735.5535,13.0683
Gravel Surface 1,1,1120.0700,737.4147,12.4975
Gravel Surface 1,1,1120.1380,738.8265,12.3699
Gravel Surface 1,1,1117.9338,740.9091,12.0793
Gravel Surface 1,1,1118.8016,740.1533,12.2351
Gravel Surface 1,1,1105.8341,740.7996,11.4149
Gravel Surface 1,1,1116.0672,742.3896,11.8223
Gravel Surface 1,1,1106.2682,741.1699,11.4142
Gravel Surface 1,1,1107.8800,742.5449,11.4635
Gravel Surface 1,1,1110.6368,744.4931,11.5540
Gravel Surface 1,1,1112.6724,743.7106,11.6544
Gravel Surface 1,1,1112.2115,743.8878,11.6317
Gravel Surface 1,1,1114.6185,743.0824,11.7487
Gravel Surface 1,1,1116.4366,742.2130,11.8508
Gravel Surface 1,1,1120.9269,738.0432,12.4976
Gravel Surface 1,1,1122.1539,736.0532,13.1724
Gravel Surface 1,1,1121.1661,737.8057,12.5940
Gravel Surface 1,1,1122.1899,736.9165,12.9770
Gravel Surface 1,1,1122.4815,736.6632,13.0792
Gravel Surface 1,1,1123.0143,737.0880,13.0594
Gravel Surface 1,1,1124.5189,737.8988,13.0941
Gravel Surface 1,1,1122.1034,734.8438,13.4461
Gravel Surface 1,1,1123.6887,732.8267,14.5200
Gravel Surface 1,1,1121.6204,735.4583,13.1189
Gravel Surface 1,1,1112.6702,690.7699,11.9382
Gravel Surface 1,1,1115.8411,686.8040,11.9377
Gravel Surface 1,1,1141.7600,692.9463,14.8507
Gravel Surface 1,1,1155.4467,664.2069,13.7847
Gravel Surface 1,1,1156.5747,662.7798,13.7824
Gravel Surface 1,2,1219.0546,602.9437,13.9873
Gravel Surface 1,2,1216.4845,600.9223,13.9798
Gravel Surface 1,2,1224.1384,605.3995,13.6437
Gravel Surface 1,2,1224.8301,601.3671,13.0000
Gravel Surface 1,2,1217.0981,599.3042,13.5000
Gravel Surface 1,2,1215.3994,597.4722,13.5000
Gravel Surface 1,2,1209.6900,595.5783,13.9700
Gravel Surface 1,2,1213.4853,595.8666,13.5000
Gravel Surface 1,2,1218.3918,591.5984,13.0000
